cities
"Los Angeles, CA"
"San Benito, CA"
"Santa Clara, CA"
"Tempe, AZ"
"Boston, MA"
"Madison, WI"
"Orange, CA"
"Chicago, IL"
"Seattle, WA"
"San Diego County, CA"
"San Antonio, TX"
"Humboldt County, CA"
"Sacramento County, CA"
"Omaha, NE (From Diamond Princess)"
"Lackland, TX (From Diamond Princess)"
"Travis, CA (From Diamond Princess)"
"Snohomish County, WA"
"Grafton County, NH"
"Umatilla, OR"
"Sonoma County, CA"
"King County, WA"
"San Mateo, CA"
"Sarasota, FL"
"Placer County, CA"
"Cook County, IL"
"Hillsborough, FL"
"Fulton County, GA"
"Wake County, NC"
"Washington County, OR"
"Westchester County, NY"
"Maricopa County, AZ"
"Orange County, CA"
"Providence, RI"
"Contra Costa County, CA"
"Fort Bend County, TX"
"Williamson County, TN"
"Santa Rosa County, FL"
"Bergen County, NJ"
"San Francisco County, CA"
"Grant County, WA"
"Harris County, TX"
" Norfolk County, MA"
"Clark County, NV"
"Chatham County, NC"
"Suffolk County, MA"
"Delaware County, PA"
"Fayette County, KY"
"Washoe County, NV"
"Denver County, CO"
"Ramsey County, MN"
"Summit County, CO"
"Unassigned Location, WA"
"Nassau County, NY"
"New York City, NY"
"Wayne County, PA"
"Marion County, IN"
"Middlesex County, MA"
"New York County, NY"
"Berkeley, CA"
"Yolo County, CA"
"Douglas County, NE"
"Montgomery County, MD"
"Honolulu County, HI"
"El Paso County, CO"
"Alameda County, CA"
"Pinal County, AZ"
"Providence County, RI"
"Clark County, WA"
"Tulsa County, OK"
"Rockland County, NY"
"Davis County, UT"
"Santa Clara County, CA"
"Pierce County, WA"
"Portland, OR"
"Madera County, CA"
"Charleston County, SC"
"Plymouth County, MA"
"Broward County, FL"
"Klamath County, OR"
"Montgomery County, TX"
"Kershaw County, SC"
"Saratoga County, NY"
"Jefferson County, WA"
"Fairfield County, CT"
"Lee County, FL"
"Cobb County, GA"
"Douglas County, CO"
"Jackson County, OR "
"Davidson County, TN"
"Douglas County, OR"
"Virgin Islands, U.S."
"Spokane County, WA"
"Berkshire County, MA"
"Kittitas County, WA"
"Volusia County, FL"
"Okaloosa County, FL"
"Johnson County, KS"
"Suffolk County, NY"
"St. Louis County, MO"
"Unknown Location, MA"
"Norfolk County, MA"
"Washington, D.C."
"Fresno County, CA"
"Polk County, GA"
"Manatee County, FL"
"Marion County, OR"
"Riverside County, CA"
"Hendricks County, IN"
"Fairfax County, VA"
"Harford County, MD"
"Rockingham County, NH"
"Montgomery County, PA"
"Hudson County, NJ"
"Ulster County, NY"
"Floyd County, GA"
"Shelby County, TN"
"Queens County, NY"
"Collin County, TX"
"Cherokee County, GA"
"Spartanburg County, SC"
"Jefferson Parish, LA"
"Jefferson County, KY"
"Bennington County, VT"
"Unassigned Location, VT"
"Shasta County, CA"
"Ashland, NE"
"Harrison County, KY"
"Norwell County, MA"
"Charlotte County, FL"
"Santa Cruz County, CA"
"Carver County, MN"
"Travis, CA"
"Johnson County, IA"
"Lackland, TX"
